Anlieferungsdatum,Gewicht in Tonnen
2019-01-03 00:00:00+00:00,73.04
2019-01-04 00:00:00+00:00,72.58
2019-01-05 00:00:00+00:00,771.0266666666666
2019-01-06 00:00:00+00:00,1469.4733333333331
2019-01-07 00:00:00+00:00,2167.92
2019-01-08 00:00:00+00:00,2795.52
2019-01-09 00:00:00+00:00,2761.32
2019-01-10 00:00:00+00:00,1214.5
2019-01-11 00:00:00+00:00,2893.38
2019-01-12 00:00:00+00:00,2957.0133333333333
2019-01-13 00:00:00+00:00,3020.646666666667
2019-01-14 00:00:00+00:00,3084.28
2019-01-15 00:00:00+00:00,3259.66
2019-01-16 00:00:00+00:00,2670.04
2019-01-17 00:00:00+00:00,2476.0
2019-01-18 00:00:00+00:00,1358.24
2019-01-19 00:00:00+00:00,1387.7866666666666
2019-01-20 00:00:00+00:00,1417.3333333333333
2019-01-21 00:00:00+00:00,1446.8799999999999
2019-01-22 00:00:00+00:00,1813.26
2019-01-23 00:00:00+00:00,828.9399999999999
2019-01-24 00:00:00+00:00,237.48
2019-01-25 00:00:00+00:00,283.86
2019-01-26 00:00:00+00:00,333.84000000000003
2019-01-27 00:00:00+00:00,383.82
2019-01-28 00:00:00+00:00,433.8
2019-01-29 00:00:00+00:00,199.4
2019-01-30 00:00:00+00:00,277.82
2019-01-31 00:00:00+00:00,275.14
2019-02-01 00:00:00+00:00,140.64
2019-02-02 00:00:00+00:00,900.0066666666665
2019-02-03 00:00:00+00:00,1659.373333333333
2019-02-04 00:00:00+00:00,2418.74
2019-02-05 00:00:00+00:00,3702.86
2019-02-06 00:00:00+00:00,3149.04
2019-02-07 00:00:00+00:00,3162.08
2019-02-08 00:00:00+00:00,2190.66
2019-02-09 00:00:00+00:00,2193.4266666666667
2019-02-10 00:00:00+00:00,2196.193333333333
2019-02-11 00:00:00+00:00,2198.96
2019-02-12 00:00:00+00:00,2074.68
2019-02-13 00:00:00+00:00,1165.7
2019-02-14 00:00:00+00:00,347.12
2019-02-15 00:00:00+00:00,398.26
2019-02-16 00:00:00+00:00,425.99333333333334
2019-02-17 00:00:00+00:00,453.72666666666663
2019-02-18 00:00:00+00:00,481.46
