ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
682483;Neubau Primarschule Riethüsli;Gerhardtstrasse 16;9012;St. Gallen;SG;St. Gallen;;Neubau Schulanlage, Doppelturnhalle, Tagesbetreuung, zwei Kindergärten;Baubewilligung erteilt;03.06.2022;Baugesuch eingereicht;22.11.2021;48.00 Mio CHF;August 2022 (Abbruch);Aug 25;;Unterricht, Bildung und Forschung;210;Kinderhorte und Kindergärten;220;Primar- und Sekundarschulen;1210;Sportanlagen, Turn- und Mehrzweckanlagen;1220;Tribünenbauten und Garderobengebäude;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1311;Parkplätze;;;;;;;;
723073;Teilabbruch und Erweiterung der Kantonsschule Sargans (6C.II.039508);Pizolstrasse 14;7320;Sargans;SG;Sarganserland;Parz. 1587;Neuaufbau Kantonsschule;Baubewilligung erteilt;30.11.2021;Baugesuch eingereicht;02.10.2015;49.00 Mio CHF;Sommer 2023;Jun 25;;Unterricht, Bildung und Forschung;240;Mittelschulen und Gymnasien;;;;;;;;;;;;;;;;;;
2536052;Neubau Produktions- und Bürogebäude;Bleichi;9043;Trogen;AR;Mittelland;Parz. 1047/866;Neubau eines Produktions- und Bürogebäudes (Unternehmer bestimmt);Baubewilligung erteilt;22.12.2016;Baugesuch eingereicht;13.02.2015;3.00 Mio CHF;Frühling / Sommer 2017;;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;640;Bürobauten mit erhöhten Anforderungen;;;;;;;;;;;;;;;;
2577353;Erweiterung/Erneuerung Regionalgefängnis mit Parkplätzen (6C.II.072A17);Luchstrasse;9450;Altstätten SG;SG;Rheintal;Gst. 3396, 3410, 3408, 4075;Erweiterung/Erneuerung Regionalgefängnis mit Parkplätzen;Baubewilligung erteilt;05.02.2020;Baugesuch eingereicht;17.06.2019;83.00 Mio CHF;Sep 23;Jahr 2028;;Justiz und Polizei;640;Bürobauten mit erhöhten Anforderungen;720;Polizeieinsatzgebäude und Untersuchungsgefängnisse;720;Polizeieinsatzgebäude und Untersuchungsgefängnisse;730;Strafvollzugsanstalten;730;Strafvollzugsanstalten;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1311;Parkplätze;1314;Carports und Abstellplätze;1420;Zeughäuser;1420;Zeughäuser
2809106;Neubau Pflegezentrum Schachen mit Tiefgarage und Parkplätzen;Druckerstrasse;8645;Jona;SG;See-Gaster;Gst. 3704J/164;Neubau Alterszentrum mit Tiefgarage und Parkplätzen;Baubewilligung erteilt;05.07.2023;Baugesuch eingereicht;21.11.2019;46.70 Mio CHF;Nov 23;Okt 26;;Fürsorge und Gesundheit;160;Alterswohnheime;840;Pflegeheime, Sanatorien und Rehabilitationszentren;1150;Raststätten, Cafeterias, Tea-Rooms und Bars;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;
2828964;Neubau Gewerbezentrum/Parkunique mit Tiefgarage;Staatsstrasse;9463;Oberriet SG;SG;Rheintal;Gst. 2920, 2921;Neubau Gewerbezentrum/Parkunique mit Tiefgarage;Baubewilligung erteilt;15.11.2024;Projekt;06.01.2017;25.00 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;640;Bürobauten mit erhöhten Anforderungen;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;;;;;
2833485;Neubau Raststätte Ost mit Tankstellenshop und Parkplätzen;Fösara/Buchserau;9475;Sevelen;SG;Werdenberg;Parz. 1946/ Parz. 1117;Neubau Raststätte Ost mit Tankstellenshop und Parkplätzen (Projektänderung);Baubewilligung erteilt;27.06.2024;Baugesuch eingereicht;07.02.2017;2.00 Mio CHF;;;;Gastgewerbe und Fremdenverkehr;610;Ladenbauten;1110;Restaurationsbetriebe;1311;Parkplätze;;;;;;;;;;;;;;
2856263;Neubau Aerztehaus mit Tiefgarage;Bahnhofplatz;9056;Gais;AR;Mittelland;Parz. 45, 91;Neubau Aerztehaus mit Tiefgarage;Baubewilligung erteilt;30.04.2024;Baugesuch eingereicht;07.06.2022;14.60 Mio CHF;;;;Fürsorge und Gesundheit;610;Ladenbauten;640;Bürobauten mit erhöhten Anforderungen;810;Arztpraxen und Ärztehäuser;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;;;
2873455;Abbruch Einfamilienhaus;Grofstrasse 7;9470;Buchs SG;SG;Werdenberg;Gst. 313;Abbruch Einfamilienhaus (neue Eingabe);Baubewilligung erteilt;28.08.2024;Baugesuch eingereicht;07.10.2019;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
2886531;Neubau Zentralgebäude Johanneum;Johanneumstrasse 4;9652;Neu St. Johann;SG;Toggenburg;Gst. 129;Neubau Zentralgebäude Johanneum;Baubewilligung erteilt;19.10.2023;Baugesuch eingereicht;05.01.2023;7.00-10.00 Mio CHF;Baustart erfolgt;Frühling 2025;;Fürsorge und Gesundheit;250;Heilpädagogische Schulen/Sonderschulen;840;Pflegeheime, Sanatorien und Rehabilitationszentren;1150;Raststätten, Cafeterias, Tea-Rooms und Bars;;;;;;;;;;;;;;
